,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u124196,Fengjie is no longer under Sichuan's jurisdiction,2.0,2.0
1,u205217,And that's not even counting the nine months of constipation leading up to it.,4.0,4.0
2,u260396,You may have noticed that we don't like dawdling.,2.0,2.0
3,u193134,"Fresh-cut vegetables, raspberries, pita with hummus and sprouts.",1.0,1.0
4,u218714,"That's very kind of you, Robert.",2.0,2.0
5,u75457,Because the river's not on the map.,3.0,3.0
6,u250035,Why do you want those things anyways?,4.0,4.0
7,u162353,"There's more to a bottle cap than keeping liquid from leaking out of glass!""",2.0,2.0
8,u172094,Just tell me who the fuck killed Mike?!,2.0,2.0
9,u150084,"Okay, everybody, this is Rachel, another Lincoln High survivor.",4.0,4.0
10,u123631,Let's have a little old-time church right now.,3.0,3.0
11,u262874,"But he got arthritis then, and he killed himself.",3.0,3.0
12,u55517,"and, frankly, the whole idea that my astrological sign was a scale",2.0,2.0
13,u6563,"OK, so the Tennessee Valley Authority was in a little bit of a bind.",2.0,2.0
14,u78721,You know you're done with all that.,3.0,3.0
15,u202606,"If you got a minute, we'd like to talk to you.",2.0,2.0
16,u189045,"We have some VlPs coming in from out of town, and when they arrive, which won't be long now,",4.0,4.0
17,u140231,I only know a few things about her.,1.0,1.0
18,u140387,You mind dropping me off on the way in?,2.0,2.0
19,u246120,And I love you more than my own life.,2.0,2.0
20,u295850,"I steal, extorción, murder, I traffic of drugs",1.0,1.0
21,u122489,"We made small talk, wondered if we had any mutual acquaintances.",1.0,1.0
22,u6046,"I thought, at the time, I did a pretty good job.",2.0,2.0
23,u38486,"That's why you have to send your kids to good schools,",4.0,4.0
24,u157592,"No, a mob is rising in size And they've been dying to scream",3.0,3.0
25,u245963,He said he was after the devil.,3.0,3.0
26,u283483,"So, they just don't want to work.",3.0,3.0
27,u276057,Kelly Reyes and Jen Crowe have turned the tables.,2.0,2.0
28,u124985,"We have a population, 25% of the population of the U.S.A.… … now, it is described itself like evangelista.",5.0,5.0
29,u135809,"Look, I'm facing a lot of jail time here.",2.0,2.0
30,u91257,"By order of comrade Stalin, no civilian can leave the city.",2.0,2.0
31,u61224,You should see what they did last year.,5.0,5.0
32,u191488,I'm not gonna let you do this.,3.0,3.0
33,u91568,"We're both soldiers, and we're both enemies, so I know you understand.",3.0,3.0
34,u245690,So the powers that be hired John Wilkes Booth.,3.0,3.0
35,u269278,"Hold me, somebody, while I laugh it out.",4.0,4.0
36,u90867,"No, I don't think it's about that.",4.0,4.0
37,u64861,Do you mind if we come in for a minute?,2.0,2.0
38,u26653,"India gave refuge to the Jews, fleeing the destruction of the first temple",2.0,2.0
39,u197931,"Pour it all over me,you little bronze bitchlet.",2.0,2.0
40,u135337,Can' t youeven jack me off properly?,1.0,1.0
41,u234240,One for the road won't hurt you!,4.0,4.0
42,u3341,Last year at TED I gave an introduction to the LHC.,2.0,2.0
43,u262768,"In the lift, I saw a grandma and grandson.",1.0,1.0
44,u27701,And I say that because the system in Turkey is notable.,4.0,4.0
45,u53698,"and we would like to bring this for the very first time, to the United States",4.0,4.0
46,u103653,"No, I can't tell you where I am, Mom.",2.0,2.0
47,u171935,Why he would want to meet with me.,4.0,4.0
48,u17151,And it was a big thing in my little community of Point Reyes Station,4.0,4.0
49,u126727,#And this mystery only leads to doubt #,3.0,3.0
50,u268732,And I needed a pair for her as well.,5.0,5.0
51,u147851,I can try to dump them again.,5.0,5.0
52,u123315,"I get a step, he must get a step.",4.0,4.0
53,u212886,I'm gonna be sitting there on the trampoline smoking crack.,1.0,1.0
54,u30725,"But in fact, I would argue that we've just done an experiment here and now,",4.0,4.0
55,u236879,What was thatstunt you pulled at the Foundation?,3.0,3.0
56,u152860,And there will be white cows with sweet breath.,4.0,4.0
57,u207455,Everyday ours life can be a miracle.,1.0,1.0
58,u205084,"Where Sadie was christened by Reverend Frank, who's known us forever.",2.0,2.0
59,u78600,"He calls it ""rebicycling. ""Something like that.",4.0,4.0
60,u195232,"And, Daddy... don't judge Stephan too hard or too fast.",2.0,2.0
61,u119839,"Anyways, Roxanne, how did you and Lenny meet?",1.0,1.0
62,u72143,What do you think makes her so extraordinary?,3.0,3.0
63,u184286,"You know, I think that's fair, Mommy.",4.0,4.0
64,u71436,My parents sent my there when I was 16 to marry Menelaus.,5.0,5.0
65,u193602,And I told him we shouldn't be fucking around down there.,4.0,4.0
66,u27228,"the authorities had been convinced -- in part because of this story,",4.0,4.0
67,u103152,"If you behave, I'il take you to dinner.",1.0,1.0
68,u189154,Your job is to figure out when this is all gonna fall apart.,3.0,3.0
69,u167298,"So, after you got in the truck, what happened next?",2.0,2.0
70,u225341,"He's what we call an enhancement smoker,",4.0,4.0
71,u276186,"W/ndows, make sure there are no cameras.",2.0,2.0
72,u257737,I tried to hold on to fame,1.0,1.0
73,u82554,"No, it was nothing like that.",5.0,5.0
74,u272884,"""Can you put me up for the night?""",1.0,1.0
75,u218981,"If you wish, I can connect you with our manager Mr. Olin.",1.0,1.0
76,u248250,How do you know that she can help us?,2.0,2.0
77,u92447,"Joe, can I talk to you for a minute in private?",1.0,1.0
78,u141455,We mustheal end take off and do not have enough time much.,5.0,5.0
79,u115311,Cup your hands closer to your chest!,1.0,1.0
80,u145450,You let go and I will drop the dagger!,1.0,1.0
81,u219630,"You know, a lot of people find comfort in work when things are tough at home.",1.0,1.0
82,u28150,"so I used to love Cheetos. Oh, I love Cheetos, yummy.",1.0,1.0
83,u85259,"Look, I was up all night with him, Allie.",3.0,3.0
84,u50208,"the squid goes back to sleep, it buries itself in the sand,",1.0,1.0
85,u230455,You won a school prize for that.,4.0,4.0
86,u29257,"Now, my math's a little shaky, but this is pretty good,",2.0,2.0
87,u268812,We shouldn't say anything till our lawyers get here.,2.0,2.0
88,u1705,"much to his surprise, that a very, very simple strategy won --",5.0,5.0
89,u273625,Does the sheriff always ride around in a taxi?,3.0,3.0
90,u286767,It must be a bitter moment for you Larry.,4.0,4.0
91,u92368,There's always a surprise of some kind...,4.0,4.0
92,u233340,"Hey, champ, what do you think of beautiful Hawaii?",2.0,2.0
93,u261989,"Let us say: “ God, fixes the world”.",2.0,2.0
94,u276102,That was Leia kissing Luke to make Han jealous.,3.0,3.0
95,u144069,You could have gotten away and you didn't.,3.0,3.0
96,u266836,"Well, it would if I had any.",4.0,4.0
97,u249846,I don't know how to be positive.,2.0,2.0
98,u63260,"Uncle, is this where paka lost his reiputa?",5.0,5.0
99,u165242,"I say, ""Well, you got a problem.",4.0,4.0
100,u293446,He withdrew from the world because of love.,3.0,3.0
101,u17229,"And I got to -- I start saying, ""Free at last --",4.0,4.0
102,u272557,"No, we just take them out of the equation.",4.0,4.0
103,u173610,"""to have to hear in the midst of this panic attack.""",5.0,5.0
104,u59044,I don't want them to spend their whole lives in poverty.,2.0,2.0
105,u195019,"My teamdid everything we could out there,",2.0,2.0
106,u297241,You think that tree just fell all by itself?,3.0,3.0
107,u291254,You looking for your pot of gold?,4.0,4.0
108,u149486,"That bet we made, you're not holding me to it?",3.0,3.0
109,u162127,I'il blow your brains out if you don't get the fuck away.,1.0,1.0
110,u202324,"Oh, it's the same, as it's always been.",4.0,4.0
111,u171788,Just a regular sweet guy from Boston?,4.0,4.0
112,u172830,"I gave you every opportunity to help me, but you refused.",2.0,2.0
113,u242529,Family struggles beats a 4.0 G.P.A. Any day.,1.0,1.0
114,u267434,"I think that took a lot of courage,right?",3.0,3.0
115,u34942,"who are V-Day women, who are opening the first safe house",4.0,4.0
116,u134819,I understand you have extremely ill-behaved children.,2.0,2.0
117,u53309,"women should be able to wear whatever they want, as far as I'm concerned.",1.0,1.0
118,u231136,You must have a few quiet months to renew your spiritual life.,2.0,2.0
119,u218382,You said you saw her die.,3.0,3.0
120,u121369,Let go of me or I'il pop you!,1.0,1.0
121,u180796,"I mean, realistically, what do I expect him to do, you know?",4.0,4.0
122,u153060,Let's say I try to solve people's problems.,1.0,1.0
123,u200977,Be there some manner of rite or incantation?,2.0,2.0
124,u206574,The drill is the exit strategy.,4.0,4.0
125,u9166,"the children are using statistics to find out about the world,",1.0,1.0
126,u32937,It was somebody who was trying to ask a question about JavaScript.,1.0,1.0
127,u254335,"Hey, look, I'm on your team, man.",2.0,2.0
128,u67114,"Therefore, these are things you cannot understand",4.0,4.0
129,u283821,It was a—a Smith & Wesson.38 revolver.,1.0,1.0
130,u49050,"But many of them are just here, because they don't have money.",4.0,4.0
131,u204056,"Well, that's very free thinking of them.",4.0,4.0
132,u295977,She's an angel come down from Heaven.,2.0,2.0
133,u16405,and then we turn around and we invest equity and loans,3.0,3.0
134,u109454,"Something about you still doesn't sit right with me, Eddie.",3.0,3.0
135,u3301,"because of the quality of the information, the ability to find the best person,",5.0,5.0
136,u134651,"She didn't ask me to do it, she just announced it, and I won't do it.",2.0,2.0
137,u174759,"Your grandfather could've kept it in, but your father didn't keep quiet.",4.0,4.0
138,u118165,"And, by gosh, we've had a lot of great players at Florida state from Belle Mar and also from Palm Grove.",2.0,2.0
139,u293804,I came to say goodbye to my sworn brother.,3.0,3.0
140,u278529,"Wait a minute, you've seen the super bark?",4.0,4.0
141,u82472,She's got a headache and she's dizzy.,1.0,1.0
142,u85214,They got every cop in town out looking for her.,2.0,2.0
143,u239920,She buys two for $1 at the market.,1.0,1.0
144,u171136,I think this can all work out.,3.0,3.0
145,u229396,You all sit down to show us about t,5.0,5.0
146,u22451,And then I encouraged the ants to come 'round by putting sugar and things like that.,1.0,1.0
147,u133098,"You know, I just had to make a little pit stop at the crime lab.",3.0,3.0
148,u187839,You're gonna go to jail again.,2.0,2.0
149,u282956,"I'm Hancock, and I drink and stuff.",2.0,2.0
150,u109145,"In about three seconds we're gonna find out if Coogan's right about this being a bust, or we're gonna find one of us dead.",4.0,4.0
151,u192168,"I'm better now, but it can come back!",4.0,4.0
152,u120400,"But for the most part, being a carer has suited me fine.",1.0,1.0
153,u1711,or rejects the split -- neither player is paid and the game is over.,3.0,3.0
154,u129274,I traded with the Chinese three years ago.,2.0,2.0
155,u274725,"According to you, I'm worth two pictures.",4.0,4.0
156,u252438,"""We all stand to gain over 143 million.""",5.0,5.0
157,u89727,Always trying to live off other people's wealth!,1.0,1.0
158,u195751,"Mr. Steve Lopez, staff writer,you are my god.",4.0,4.0
159,u242202,Dr. Euripides tell youto check for that?,1.0,1.0
160,u163915,We're out of position for the effects!,4.0,4.0
161,u80113,"I mean, we gotta look legit, man.",3.0,3.0
162,u244282,"There's no rule for idle time or second guessing,",1.0,1.0
163,u282369,He was Buck's road manager before me.,2.0,2.0
164,u70218,"My dear angel, it was a triumph.",3.0,3.0
165,u110697,I've freed you from the guilt of choosing to leave them.,3.0,3.0
166,u134714,"When we get the specifical chemical makeup for each barrel, we might be able to trace it back to the company of origin.",1.0,1.0
167,u156689,Think something must have switched on with Kelly Reyes.,4.0,4.0
168,u241084,Found this on the seat of my sleigh.,1.0,1.0
169,u7038,"but the only way that I know how to do it,",5.0,5.0
170,u113345,I'm surprised they've let it go on this long.,4.0,4.0
171,u101466,"Captain Teague wants us to play now, - Love to,",4.0,4.0
172,u2482,"and you allow it in another group that you're experimenting with,",5.0,5.0
173,u250120,Arrival of President Kim Dae Jung in Pyungyang,4.0,4.0
174,u215313,"I know it's not, but it's fun to know.",3.0,3.0
175,u148793,And let's have no displays of indignation.,2.0,2.0
176,u270377,Is that a picture of me and Kevin?,2.0,2.0
177,u76406,"I want you to conduct a field test for us, Greg.",2.0,2.0
178,u203270,Can you Pile Drive me from that position?,4.0,4.0
179,u50422,"So there's a third approach, if we look at it this way.",5.0,5.0
180,u259990,"Tempers would flare, people would start getting hurt.",2.0,2.0
181,u110228,"Father, I have sent people to look for him",3.0,3.0
182,u147099,I might have even held his head under the water.,4.0,4.0
183,u159596,Check this out and let me say One thing to you,2.0,2.0
184,u140167,I know he can sing near anything.,1.0,1.0
185,u153762,I saw your paintings in the brochure and thought how charming they looked.,1.0,1.0
186,u181175,Both of you put bothof your guns down or I’m gonna blow both of your frickin' heads off.,1.0,1.0
187,u40001,when Thomas was playing the music as we came in the room today.,5.0,5.0
188,u212148,You think he couldn't pay someone to make the phone call for him?,3.0,3.0
189,u64115,"Tell me, how many candles did they put on your birthday cake this year?",1.0,1.0
190,u165998,That's how most people do it.,4.0,4.0
191,u88104,"And to make matters worse, Jill dumped me last night.",2.0,2.0
192,u265481,He even mentioned Grissom's name a few times.,2.0,2.0
193,u180702,Because I don't do stuff like this.,4.0,4.0
194,u148306,"I would've told you, had I not shut it.",3.0,3.0
195,u58097,"that for every word intended as to render us deaf to one another,",5.0,5.0
196,u272988,What the hell do you call that?,5.0,5.0
197,u253899,"Yes, we're still going around looking for more.",3.0,3.0
198,u158753,"In the written report, you all claim you didn’t even know about the fire until after it happened.",2.0,2.0
199,u246095,"Then you can get back to it, all right?",3.0,3.0
200,u120311,"But, apart from that, we'd be left largely to our own devices and even allowed to take day trips into the surrounding countryside.",4.0,4.0
201,u71251,I want you out of our life.,1.0,1.0
202,u116095,"""We got him, we got Alexander Pearce.""",2.0,2.0
203,u178087,"You want to do absolute being a shooter, will master to shut spirit",5.0,5.0
204,u13916,"of the periodic table, and create miracle materials like that cell,",5.0,5.0
205,u152854,And then he gave me his van.,1.0,1.0
206,u295555,That puts the immortality out of our reach.,5.0,5.0
207,u87042,They say the Feds are on their way.,4.0,4.0
208,u114212,"So, it's a constant battle of trying to maintain some dignity and grace in society.",2.0,2.0
209,u135852,You keep the place locked down until I get some help.,2.0,2.0
210,u240043,We hugged and kissed that little prince,4.0,4.0
211,u209521,"Borte, I can ' t stay away from you.",1.0,1.0
212,u63865,"Sometimes, God likes to put two guys in a paper bag and just let 'em rip.",4.0,4.0
213,u212471,You said everything was gonna be fine and nothing is fine.,2.0,2.0
214,u181204,Go home and don't come back or you're gonna get hurt.,1.0,1.0
215,u9512,"in what the chips can do. And so, to put that in practical terms,",5.0,5.0
216,u293519,"Well, today I stand before you with just that.",5.0,5.0
217,u183621,You might want to buckle up.,3.0,3.0
218,u278557,"Now,who is going to save that cat?",2.0,2.0
219,u114325,"I have never cared about anybody, or anything, in my entire life.",2.0,2.0
220,u117682,"I feel so guilty, because all I ever prayed for was to have a family.",3.0,3.0
221,u170221,"You know, the more I spend, the harder Ray has to work and the less I have to see him.",3.0,3.0
222,u91133,"Every evening, we listen to them talk about you on Radio Moscow.",4.0,4.0
223,u23849,"In fact, more than four million people sustain a concussion every year,",1.0,1.0
224,u129524,"Feodor and Victor congratulate their friend Maxim Vasilyev, for winning an international competition of young architects.",1.0,1.0
225,u8475,You want button fly or zipper fly? You want stonewashed or acid-washed?,1.0,1.0
226,u31844,"it's more like the Wild West than it is like Rome, from a cultural standpoint.",4.0,4.0
227,u187651,"When Toruk Macto called them, they came.",3.0,3.0
228,u131134,"He'd watch TV, but anything longer than a couple minutes was confusing.",2.0,2.0
229,u85139,"But with a brush in my hand, the world just gets kinda quiet.",2.0,2.0
230,u143965,And here I put in a little smiley face icon.,2.0,2.0
231,u40062,"And the thing that I realized is there was no way that I,",5.0,5.0
232,u13911,"What if we were to separate out metals from waste streams,",1.0,1.0
233,u298673,Operation Blackbriar started as an NEAT surveillance program.,4.0,4.0
234,u42703,we could make all of America's electricity in about 10 years.,2.0,2.0
235,u117039,"People are relying on you to be Iron Man and you've disappeared, and all I'm doing is putting out your fires and taking the heat for it.",3.0,3.0
236,u86788,He'il have to get back to you,1.0,1.0
237,u125720,"And I think we'il learn to do a lot, you know.",3.0,3.0
238,u81914,"He was coughing, and I just wanted to help him- Aren't you a dear.",4.0,4.0
239,u23223,Now what does a pre-frontal cortex do for you that should justify,5.0,5.0
240,u61378,Don't you have some flaw defenseless animals to disembogue?,4.0,4.0
241,u297502,"Shit, I already asked me where it was.",4.0,4.0
242,u75939,"Come when you want, once a month, once a year,.. ..but keep me.",4.0,4.0
243,u38561,"that is open to fishing -- and mining, and drilling, and dumping, and whatever --",4.0,4.0
244,u235712,I don't expect everybody to make it back.,4.0,4.0
245,u208681,"If you hadn't talked to that squeak toy before the show, you never would've pulled this off.",3.0,3.0
246,u252329,You have everything from the soldier fort?,4.0,4.0
247,u249322,"""Forensic Specialist Amy Sutton offered her heart",5.0,5.0
248,u20175,"Now I thought, you know, if we just did good science,",4.0,4.0
249,u272631,About three milesahead there's a section missing.,2.0,2.0
250,u227327,"I don't mean that, I'd like to eat alone.",3.0,3.0
251,u155717,"You're not gonna keep him in the backyard, are you?",4,4.0
252,u193574,I really don't think this was part of any game.,4.0,4.0
253,u243270,Make sure he doesn't snap and hurt somebody.,4.0,4.0
254,u174585,I want you to know the truth about your mother.,4.0,4.0
255,u1844,"is the means to strive for a more perfect, more aware,",5.0,5.0
256,u271292,"I promise you, I'il play you next season, okay?",2.0,2.0
257,u242170,And you get a gold star from Cuddy.,4.0,4.0
258,u69042,"But when they took Deck 11, they just stopped.",5.0,5.0
259,u179576,"For fuck's sake, Judy, I've taken an hour out to come over here and be room meat.",4.0,4.0
260,u103966,I had no idea what Kicking Bird's decision would be.,4.0,4.0
261,u273004,"What the fuck are you supposed to be, man?",4.0,4.0
262,u225765,Get your feet out of the water.,1.0,1.0
263,u27958,We hope that the attendees of this conference will usher in,5.0,5.0
264,u173105,"It's only Everyman, the coolest comic book ever.",2.0,2.0
265,u152985,"I was sitting in the garden of my very nice house when an old man approached, and he said to me,",2.0,2.0
266,u224955,"If I tap the whole contingency, just over 10 million.",4.0,4.0
267,u196028,"Just, you know, keep going with the partiaI responsibility and exploiting him Iike you are now.",4.0,4.0
268,u241979,I got too much on my platter.´´,2.0,2.0
269,u156597,You know what would have been really nice?,4.0,4.0
270,u192439,How should I get them to you?,2.0,2.0
271,u268564,"I mean,just give us a little bit more time.",2.0,2.0
272,u166279,"""Conventional Archetypes of Beauty and Their Effect on the Opposite Sex.""",1.0,1.0
273,u290718,I'm just afraid that the neighbors might overhear.,1.0,1.0
274,u200103,"Before moving on to the major business,",5.0,5.0
275,u76330,"If you pour for yourself, you'il never get married.",4.0,4.0
276,u53747,and the terrible materials that we're building schools out of these days.,2.0,2.0
277,u280635,They have a course on it here.,5.0,5.0
278,u187458,That's how they move up and down.,5.0,5.0
279,u103470,"I don't care. ln the end, they'il beat you.",4.0,4.0
280,u54848,I think everybody should do it -- think that you've got three wishes.,2.0,2.0
281,u233559,Can I go back to sleep now? -Okay. All right.,2.0,2.0
282,u154934,I'm trying to deal with all of this mess.,4.0,4.0
283,u195443,Let's see you walk away from this.,4.0,4.0
284,u264956,I don't even know what you're talking about.,2.0,2.0
285,u92704,He's bleeding out.I don't think he'sgoing to make it to the hospital.,1.0,1.0
286,u272861,"You can leave my crime scene now, okay?",4.0,4.0
287,u79203,"What's the, er, nature of your visit to Naples?",2.0,2.0
288,u198224,"I will not let you go, motherfucker!",3.0,3.0
289,u73257,"""It's mine sir, does it please you?""",4.0,4.0
290,u74101,"So, my dear, what would you like to wear to the coronation ball?",2.0,2.0
291,u187864,That's the secret to all great dancers.,4.0,4.0
292,u50035,because people will have a tendency to show you world class behavior,3.0,3.0
293,u274706,"All through the backgammon and cigars, I tried.",4.0,4.0
294,u255241,"Teacher, these are Meng and Shu's carriages",2.0,2.0
295,u204669,"When I'm done withthe humans, they won't be able to say, ""Honey, I'm home,"" without paying a royalty!",4.0,4.0
296,u184510,"I think that motherfucker's trying to set us up, man.",3.0,3.0
297,u52458,"because we are going to look after you every moment of it.""",4.0,4.0
298,u110398,By creating something secure like a bank vault or a jail.,3.0,3.0
299,u261710,How much could I make in a day?,3.0,3.0
300,u246144,I promise to God I´il bury you here.,2.0,2.0
301,u186065,I was just explaining to the lovely Mr. Needlebaum about the surprise.,3.0,3.0
302,u78311,"And then he asked for the worst, did old Lucius.",4.0,4.0
303,u244102,"Sam, I need youto clean the pool tonight.",2.0,2.0
304,u106699,Please do not force her to go,3.0,3.0
305,u90363,God came to him earlier that day and told him that the time had come.,4.0,4.0
306,u67469,"And yet, I can't help wondering about the friend I leave behind.",4.0,4.0
307,u221738,But Ebert over here don't give a shit about that kind of thing... because he's like in love with this John Hughes guy.,4.0,4.0
308,u279605,"Nowadays, no one has a full meal",2.0,2.0
309,u175024,"My Lord, I call my first witness!",2.0,2.0
310,u18294,"If it's not picked up by a human, like me and you,",4.0,4.0
311,u206209,"My dear Mr. B. This is a thank youfor all that you've given me.. the oppurtunity, the kindness, the warmth, the--",2.0,2.0
312,u286367,"Now men in general,but that's not the point.",5.0,5.0
313,u227110,"If you get stuck... just wave and announce, ""Continue,""",1.0,1.0
314,u238182,So let us fight our own battle.,3.0,3.0
315,u247500,"Mr. Manners, you need to implement evacuation protocols immediately.",2.0,2.0
316,u80747,"I Iike dropping a fancy brand name in now and again,",2.0,2.0
317,u207496,"I want to put the things better, does he/she know?",3.0,3.0
318,u70167,Now those who sleep will get up and walk.,4.0,4.0
319,u178834,"And I hope you don't mind, but we like to pay cash in advance.",2.0,2.0
320,u138322,"Hey, let me buy you a drink.",2.0,2.0
321,u102460,"Look, don't lay it on me!",4.0,4.0
322,u242491,What's the differential for a twitch in the wrist?,1.0,1.0
323,u282389,Whoever gave him C.P.R.didn't know what they were doing.,1.0,1.0
324,u144425,What did you want us to do?,2.0,2.0
325,u198650,I am awashed with it That it lives shows the breath of my Magnalimita.,5.0,5.0
326,u105436,You would not believe what I've been through tonight.,3.0,3.0
327,u178042,"Buy the gasoline adds three waters, pouring his old mama",5.0,5.0
328,u79762,That was the basic philosophy of the original architects.,4.0,4.0
329,u8837,and the day we showed up turned out to be a 60-year-old man's birthday.,2.0,2.0
330,u211485,So _BAR__BAR_ the work that a thing he crab is mighty?,5.0,5.0
331,u80002,"Hey, is that a new kid or something?",2.0,2.0
332,u117503,"You see, it becomes a ""Y"" after a few drinks.",5.0,5.0
333,u187044,If you do what I say and win this guy you stop me fill the bag and works with me.,5.0,5.0
334,u92677,"Mr. President,I have given you a great deal oflatitude to sort out your domestic situation, and now there is a threat to my homeland,and I need your cooperation.",3.0,3.0
335,u176262,"We expand our hubsto Atlanta, North Carolina and St Louis.",1.0,1.0
336,u227727,And nothing I ever did ever took that feeling away.,4.0,4.0
